year,team,opp,date_game,player,decision,goals_against,shots_against,saves,save_pct,shutouts,pen_min,time_on_ice
2002,NJD,CAR,2002-04-23,Martin Brodeur,W,1,24,23,.958,0,0,60:00
2001,NJD,CAR,2001-04-17,Martin Brodeur,W,0,16,16,1.000,1,0,60:00
2002,CAR,NJD,2002-04-19,Arturs Irbe,W,1,31,30,.968,0,0,75:26
2014,CAR,BUF,2014-01-23,Anton Khudobin,W,3,29,26,.897,0,0,59:43
2009,CAR,FLA,2009-02-12,Michael Leighton,,1,10,9,.900,0,0,30:30
2012,CAR,LAK,2012-02-04,Cam Ward,W,1,25,24,.960,0,0,60:00
2010,CAR,NYR,2010-01-27,Cam Ward,W,1,38,37,.974,0,0,59:56
2009,CAR,FLA,2009-02-12,Cam Ward,L,4,13,9,.692,0,0,29:30
2010,CAR,BOS,2010-01-24,Cam Ward,W,1,28,27,.964,0,0,60:00
2014,CAR,PHI,2014-01-22,Anton Khudobin,W,2,24,22,.917,0,0,60:00
2001,CAR,NJD,2001-04-15,Arturs Irbe,L,2,29,27,.931,0,0,59:21
2002,CAR,NJD,2002-04-17,Arturs Irbe,W,1,35,34,.971,0,0,60:00
2011,CAR,TOR,2011-02-03,Cam Ward,L,3,41,38,.927,0,0,60:00
2011,CAR,ATL,2011-02-05,Cam Ward,W,3,37,34,.919,0,0,62:48
2012,CAR,BOS,2012-02-02,Cam Ward,W,0,47,47,1.000,1,0,60:00
2011,CAR,BOS,2011-02-01,Cam Ward,L,3,33,30,.909,0,0,58:44
2012,CAR,NYI,2012-01-31,Cam Ward,L,3,24,21,.875,0,0,58:56
2006,CAR,NJD,2006-05-13,Martin Gerber,,1,16,15,.938,0,0,39:16
2009,CAR,PHX,2009-02-07,Cam Ward,W,2,32,30,.938,0,0,59:50
2006,CAR,NJD,2006-05-08,Cam Ward,W,2,23,21,.913,0,0,62:51
2001,CAR,NJD,2001-04-12,Arturs Irbe,L,5,36,31,.861,0,0,60:00
2012,CAR,NYI,2012-01-31,Empty Net,,2,2,0,.000,0,0,
2006,CAR,NJD,2006-05-13,Cam Ward,L,4,17,13,.765,0,0,20:44
2006,CAR,NJD,2006-05-10,Cam Ward,W,2,30,28,.933,0,0,60:00
2002,CAR,ATL,2002-04-14,Arturs Irbe,T,2,25,23,.920,0,4,65:00
2009,CAR,SJS,2009-02-05,Michael Leighton,W,3,40,37,.925,0,0,65:00
2002,CAR,FLA,2002-04-12,Kevin Weekes,W,1,25,24,.960,0,0,59:53
2010,CAR,PHI,2010-01-23,Cam Ward,L,2,22,20,.909,0,0,52:02
2010,CAR,PHI,2010-01-23,Manny Legace,,1,7,6,.857,0,0,6:36
2010,CAR,PHI,2010-01-23,Empty Net,,1,1,0,.000,0,0,
2002,NJD,CAR,2002-04-19,Martin Brodeur,L,2,28,26,.929,0,0,75:26
2014,BUF,CAR,2014-01-23,Jhonas Enroth,L,4,32,28,.875,0,0,58:49
2014,BUF,CAR,2014-01-23,Empty Net,,1,1,0,.000,0,0,
2009,FLA,CAR,2009-02-12,Tomas Vokoun,W,0,42,42,1.000,1,0,59:41
2010,BOS,CAR,2010-01-24,Tim Thomas,L,4,15,11,.733,0,0,31:02
2014,PHI,CAR,2014-01-22,Steve Mason,L,3,32,29,.906,0,0,58:20
2012,LAK,CAR,2012-02-04,Jonathan Bernier,L,2,22,20,.909,0,0,58:51
2001,NJD,CAR,2001-04-15,Martin Brodeur,W,0,18,18,1.000,1,0,60:00
2002,NJD,CAR,2002-04-17,Martin Brodeur,L,2,17,15,.882,0,0,58:47
2010,NYR,CAR,2010-01-27,Henrik Lundqvist,L,5,24,19,.792,0,0,59:51
2011,ATL,CAR,2011-02-05,Ondrej Pavelec,O,4,37,33,.892,0,2,62:28
2012,BOS,CAR,2012-02-02,Tuukka Rask,L,3,31,28,.903,0,0,59:42
2010,BOS,CAR,2010-01-24,Tuukka Rask,,1,5,4,.800,0,0,28:43
2011,TOR,CAR,2011-02-03,James Reimer,W,0,27,27,1.000,1,2,60:00
2011,BOS,CAR,2011-02-01,Tim Thomas,W,2,26,24,.923,0,0,60:00
2001,NJD,CAR,2001-04-12,Martin Brodeur,W,1,18,17,.944,0,0,60:00
2006,NJD,CAR,2006-05-13,Martin Brodeur,W,1,20,19,.950,0,0,60:00
2006,NJD,CAR,2006-05-10,Martin Brodeur,L,3,24,21,.875,0,0,58:19
2009,PHX,CAR,2009-02-07,Ilya Bryzgalov,L,4,28,24,.857,0,0,40:00
2006,NJD,CAR,2006-05-08,Martin Brodeur,L,3,38,35,.921,0,0,62:47
2002,ATL,CAR,2002-04-14,Milan Hnilicka,T,2,26,24,.923,0,0,64:56
2012,NYI,CAR,2012-01-31,Kevin Poulin,W,2,23,21,.913,0,0,59:33
2009,PHX,CAR,2009-02-07,Mikael Tellqvist,,3,13,10,.769,0,0,20:00
2009,SJS,CAR,2009-02-05,Evgeni Nabokov,O,3,29,26,.897,0,0,65:00
2002,FLA,CAR,2002-04-12,Trevor Kidd,L,2,36,34,.944,0,0,59:29
2002,FLA,CAR,2002-04-12,Empty Net,,1,1,0,.000,0,0,
2010,PHI,CAR,2010-01-23,Ray Emery,W,2,35,33,.943,0,0,59:39
2001,CAR,ATL,2001-04-06,Arturs Irbe,W,2,24,22,.917,0,0,60:00
2006,CAR,MTL,2006-05-02,Cam Ward,W,1,26,25,.962,0,0,61:19
2002,CAR,TBL,2002-04-10,Arturs Irbe,W,2,30,28,.933,0,0,60:00
2009,CAR,VAN,2009-02-03,Cam Ward,L,4,24,20,.833,0,0,59:04
2001,CAR,NYR,2001-04-04,Arturs Irbe,W,1,25,24,.960,0,0,59:55
2011,CAR,NYI,2011-01-26,Cam Ward,W,2,25,23,.920,0,0,60:00
2009,CAR,ATL,2009-01-31,Cam Ward,W,0,19,19,1.000,1,0,59:57
2012,CAR,WPG,2012-01-23,Cam Ward,W,1,30,29,.967,0,0,60:00
2014,CAR,TBL,2014-01-19,Anton Khudobin,L,2,17,15,.882,0,0,42:22
2006,CAR,MTL,2006-04-30,Cam Ward,W,1,31,30,.968,0,0,60:00
2006,CAR,MTL,2006-04-28,Cam Ward,W,2,25,23,.920,0,0,60:00
2014,CAR,TBL,2014-01-19,Justin Peters,\,3,7,4,.571,0,0,15:07
2012,CAR,NYI,2012-01-21,Cam Ward,O,2,40,38,.950,0,0,63:44
2002,CAR,ATL,2002-04-07,Arturs Irbe,T,1,22,21,.955,0,0,64:50
2006,CAR,NJD,2006-05-06,Cam Ward,W,0,21,21,1.000,1,0,59:56
2006,CAR,MTL,2006-04-26,Cam Ward,W,1,28,27,.964,0,0,63:22
2001,CAR,PIT,2001-04-08,Arturs Irbe,L,6,22,16,.727,0,0,58:25
2010,CAR,TBL,2010-01-18,Cam Ward,L,3,32,29,.906,0,0,59:13
2014,CAR,FLA,2014-01-18,Anton Khudobin,W,2,39,37,.949,0,0,60:00
2002,CAR,NYI,2002-04-08,Arturs Irbe,W,1,25,24,.960,0,0,60:00
2010,CAR,ATL,2010-01-21,Cam Ward,W,2,34,32,.941,0,0,60:00
2001,CAR,OTT,2001-04-01,Arturs Irbe,W,2,24,22,.917,0,0,61:18
2002,CAR,NJD,2002-04-03,Arturs Irbe,L,3,27,24,.889,0,0,59:03
2004,CAR,NYI,2004-04-02,Arturs Irbe,,1,9,8,.889,0,0,30:02
2004,CAR,NYI,2004-04-02,Kevin Weekes,L,5,18,13,.722,0,0,29:27
2012,CAR,WSH,2012-01-20,Cam Ward,W,0,23,23,1.000,1,0,59:53
2007,CAR,FLA,2007-04-07,John Grahame,W,4,39,35,.897,0,0,64:36
1999,CAR,BOS,1999-05-02,Arturs Irbe,L,2,21,19,.905,0,0,58:44
1999,CAR,BOS,1999-04-30,Arturs Irbe,L,4,52,48,.923,0,0,94:45
2004,CAR,FLA,2004-04-04,Arturs Irbe,,6,31,25,.806,0,0,46:23
2001,CAR,STL,2001-04-03,Arturs Irbe,T,2,32,30,.938,0,0,64:21
2011,CAR,TOR,2011-01-24,Cam Ward,W,4,30,26,.867,0,0,59:56
2004,CAR,FLA,2004-04-04,Kevin Weekes,T,0,8,8,1.000,0,0,18:37
2008,CAR,FLA,2008-04-04,Cam Ward,L,4,17,13,.765,0,0,58:34
2001,ATL,CAR,2001-04-06,Milan Hnilicka,L,3,26,23,.885,0,0,59:20
2006,MTL,CAR,2006-05-02,Cristobal Huet,L,2,29,27,.931,0,0,61:09
2006,CAR,MTL,2006-04-24,Cam Ward,L,3,23,20,.870,0,0,67:32
2006,CAR,MTL,2006-04-24,Martin Gerber,,3,13,10,.769,0,0,14:46
2002,TBL,CAR,2002-04-10,Dieter Kochan,L,4,26,22,.846,0,0,58:59
2011,NYI,CAR,2011-01-26,Rick DiPietro,L,4,31,27,.871,0,0,59:23
2006,MTL,CAR,2006-04-30,Cristobal Huet,L,2,28,26,.929,0,0,59:05
2009,VAN,CAR,2009-02-03,Roberto Luongo,W,3,27,24,.889,0,0,59:46
2009,ATL,CAR,2009-01-31,Kari Lehtonen,L,2,40,38,.950,0,0,60:00
2012,WPG,CAR,2012-01-23,Chris Mason,L,2,16,14,.875,0,0,58:36
2014,TBL,CAR,2014-01-19,Ben Bishop,W,3,51,48,.941,0,0,60:00
2006,MTL,CAR,2006-04-28,Cristobal Huet,L,3,30,27,.900,0,0,59:13
2001,NYR,CAR,2001-04-04,Guy Hebert,L,2,38,36,.947,0,0,59:01
2001,NYR,CAR,2001-04-04,Empty Net,,1,1,0,.000,0,0,
2002,ATL,CAR,2002-04-07,Milan Hnilicka,T,1,43,42,.977,0,2,64:45
2006,MTL,CAR,2006-04-26,Cristobal Huet,L,2,36,34,.944,0,0,63:38
2002,NYI,CAR,2002-04-08,Chris Osgood,L,2,25,23,.920,0,0,58:53
2010,ATL,CAR,2010-01-21,Ondrej Pavelec,L,4,21,17,.810,0,0,59:09
2006,NJD,CAR,2006-05-06,Martin Brodeur,L,6,35,29,.829,0,2,53:07
2006,NJD,CAR,2006-05-06,Scott Clemmensen,,0,3,3,1.000,0,0,6:53
2012,NYI,CAR,2012-01-21,Evgeni Nabokov,W,1,33,32,.970,0,0,63:58
2001,PIT,CAR,2001-04-08,Johan Hedberg,W,4,31,27,.871,0,0,60:00
2004,NYI,CAR,2004-04-02,Rick DiPietro,W,4,27,23,.852,0,0,60:00
